id,width,height,area
gm_00425501,3064,4560,13971840
gm_00430701,5507,8550,47084850
gm_00492901,3040,4594,13965760
gm_00502801,3055,4614,14095770
gm_00604801,3240,4311,13967640
gm_00609701,8359,12561,104997399
gm_00614801,3753,2455,9213615
gm_00616501,4201,3325,13968325
gm_00617401,2402,5820,13979640
gm_00618701,3640,3843,13988520
gm_00621001,2591,4423,11459993
gm_00625601,4200,3329,13981800
gm_00626501,2460,5683,13980180
gm_00628401,3929,3372,13248588
gm_00632801,4800,6585,31608000
gm_00652601,3865,3615,13971975
gm_00653101,2870,4885,14019950
gm_00657201,4724,6375,30115500
gm_00658301,3978,3513,13974714
gm_00666601,5200,6651,34585200
gm_00666701,2945,4745,13974025
gm_00675601,3174,4402,13971948
gm_00676001,3463,3969,13744647
gm_00678201,2580,5325,13738500
gm_00678301,12103,18116,219257948
gm_00683101,9648,6679,64438992
gm_00684801,4360,3216,14021760
gm_00688301,2813,4974,13991862
gm_00701201,3233,12307,39788531
gm_00703901,2767,12181,33704827
gm_00757601,3150,4467,14071050
gm_00760101,4000,5530,22120000
gm_00762501,6338,9802,62125076
gm_00762701,7799,7663,59763737
gm_00763101,2306,3678,8481468
gm_00763501,3435,8346,28668510
gm_00763801,5524,9718,53682232
gm_00764301,3032,4557,13816824
gm_00766201,9920,10099,100182080
gm_00771401,2644,3766,9957304
gm_00784101,7248,5905,42799440
gm_00786101,4168,2070,8627760
gm_00787801,1723,6011,10356953
gm_00792901,671,970,650870
gm_00800501,4720,2976,14046720
gm_00801001,6286,9636,60571896
gm_00801901,1872,5259,9844848
gm_00802601,8308,7378,61296424
gm_00806601,3910,3591,14040810
gm_00806701,3290,4252,13989080
gm_00807201,1705,4352,7420160
gm_00809401,5884,9116,53638544
gm_00813301,2940,4536,13335840
gm_00814101,7760,10328,80145280
gm_00815601,3510,3955,13882050
gm_00818801,3020,4648,14036960
gm_00822601,3264,4288,13996032
gm_00832501,5861,6968,40839448
gm_00832901,8280,1891,15657480
gm_00838501,7760,10328,80145280
gm_00839801,6640,8000,53120000
gm_00843401,3342,4160,13902720
gm_00871101,3090,4526,13985340
gm_00891201,6599,10117,66762083
gm_00928701,4438,3150,13979700
gm_00929401,3266,4968,16225488
gm_00931901,5310,5913,31398030
gm_00958101,1003,1246,1249738
gm_00960601,11572,8111,93860492
gm_00973401,6652,6652,44249104
gm_00991101,3120,4488,14002560
gm_01007601,6652,6652,44249104
